cohort,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardTrailRun,A0171,12,12.000463185432473,13.000469911651564,1.000006726219091,-0.044062140210778665,1665.2623837754059,5.300000000000182,52.90000000000032,0.7636162667364661,0.8639464590036692,0.03912295819870237,0.36407504363001747,0.0994818938322123,2.089822756015648,0.6659259223502284,descent,0.7575236633746592,764.0,718.4613263654318,-45.53867363456823,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,13,13.000469911651564,13.999384678312442,0.998914766660878,-0.2084206817857689,1530.6019428199975,0.0,207.29999999999995,0.8246703466767991,0.6079103379882403,0.033547798786871086,0.4504015481373972,0.13099714517866384,2.1893046498478603,0.5928119507335403,steep_descent,1.0,689.0,429.17053748478406,-259.82946251521594,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,14,13.999384678312442,14.99998460658472,1.000599928272278,-0.03694652219900568,1402.224659730304,12.200000000000273,51.100000000000136,0.8857425450903713,0.9040139513930819,0.028627858642880977,0.41158909853249476,0.12820652943072242,2.3203017950265243,0.5701630397199433,flat,1.0,795.0,696.0305228657967,-98.96947713420332,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,15,14.99998460658472,15.999822847032986,0.9998382404482662,-0.009033024787793527,1390.7597296611457,26.800000000000182,37.50000000000023,0.9468429496354193,1.077952838666979,0.02820723423601279,0.397710843373494,0.12593671388858546,2.4485083244572468,0.5505936980145305,flat,1.0,830.0,857.8880175012399,27.888017501239915,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0171,16,15.999822847032986,16.370089393153396,0.3702665461204102,-0.06730850007183982,1362.541196795502,0.0,25.699999999999818,0.9886907597989272,0.7279856181677203,0.027185056800839602,0.364468339307049,0.036395838940350735,2.574445038345832,0.533826557570277,descent,0.2164933303703236,279.0,221.40555043272863,-57.59444956727137,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,0,0.0,1.0008717187888883,1.0008717187888883,0.07915815455758757,270.45041143430944,92.80000000000001,13.5,0.038393782036896945,1.6057880702660885,0.0019402842228779527,0.5688803582853488,0.15707042128068913,0.0,0.0,climb,1.0,521.0,883.634116387749,362.63411638774903,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,1,1.0008717187888883,1.9999554519119316,0.9990837331230433,-0.007195254686086069,265.00971888124207,72.79999999999995,73.00000000000006,0.1151127583679753,1.3174241284274282,0.0018843817406014596,0.609875283446712,0.20560682898593982,0.15707042128068913,0.15707042128068913,flat,1.0,588.0,674.9769047160516,86.97690471605165,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,2,1.9999554519119316,2.9992315317846034,0.9992760798726719,0.021513591043353594,321.76774407522635,54.50000000000006,33.200000000000045,0.1917705254435529,1.2333455183733755,0.0025016420829306885,0.65730081300813,0.16924379777276716,0.36267725026662895,0.3219674590008278,mixed_climb_descent,0.24167602542165728,410.0,586.7825485878628,176.78254858786283,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,3,2.9992315317846034,3.9989226193635843,0.9996910875789808,0.033288079688393354,340.14642056068215,58.5,26.200000000000045,0.26845159084414333,1.2840948203215115,0.0027176723192652297,0.7332061762034514,0.1955015717137902,0.5319210480393961,0.4077631578671743,mixed_climb_descent,0.21068422911015047,367.0,548.0270217677275,181.02702176772755,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,4,3.9989226193635843,5.001165565318323,1.0022429459547388,0.03370024437817034,363.6674000998534,64.89999999999998,31.799999999999955,0.3452464662441064,1.328614733093102,0.003005677815776542,0.7225381526104419,0.21343786740706766,0.7274226197531863,0.49757994878450873,mixed_climb_descent,0.425789615233889,415.0,577.0346587340057,162.0346587340057,decayed,decayedTrimpBefore,exponential
hardTrailRun,A0172,5,5.001165565318323,6.00090779161393,0.9997422262956066,0.04513700641832512,418.61532563492796,64.80000000000013,21.500000000000057,0.4220433033427597,1.384883382763428,0.0037289413088164025,0.6928678678678678,0.20685001301331102,0.9408604871602539,0.5820541597125077,climb,0.3536574287304294,444.0,626.118593203434,182.118593203434,decayed,decayedTrimpBefore,exponential
