cohort,stage,feature,coefficient,standardizedCoefficient,absStandardizedCoefficient
top10HardTrailByHRR,E6 decayed acute TRIMP,terrain_flat,0.8243320307908779,0.719151777423294,0.719151777423294
top10HardTrailByHRR,E6 decayed acute TRIMP,terrain_mixed_climb_descent,0.8826174013598167,0.5890207834390297,0.5890207834390297
top10HardTrailByHRR,E6 decayed acute TRIMP,terrain_steep_climb,0.858587394322996,0.34778821443481744,0.34778821443481744
top10HardTrailByHRR,E6 decayed acute TRIMP,terrain_steep_descent,1.1849416054699455,0.44588832091834657,0.44588832091834657
top10HardTrailByHRR,E6bis cumulative acute TRIMP,intercept,5.4505934705947015,,
top10HardTrailByHRR,E6bis cumulative acute TRIMP,logDistanceKm,1.069818159006961,0.7818956598985696,0.7818956598985696
top10HardTrailByHRR,E6bis cumulative acute TRIMP,logGapFactor,0.8041169052561834,0.6238561020994958,0.6238561020994958
top10HardTrailByHRR,E6bis cumulative acute TRIMP,altitudePenalty,6.659143503820765,0.11819435005994187,0.11819435005994187
top10HardTrailByHRR,E6bis cumulative acute TRIMP,meanHrReserve,-0.5716158898067215,-0.0686868640041374,0.0686868640041374
top10HardTrailByHRR,E6bis cumulative acute TRIMP,ctl,-0.14651787731753724,-0.08445140925050103,0.08445140925050103
top10HardTrailByHRR,E6bis cumulative acute TRIMP,tsb,0.08351643437462086,0.028216234528853044,0.028216234528853044
top10HardTrailByHRR,E6bis cumulative acute TRIMP,cumTrimpBefore,0.030330615094335198,0.11241357909771504,0.11241357909771504
top10HardTrailByHRR,E6bis cumulative acute TRIMP,terrain_climb,0.8349160694677188,0.7176234727385674,0.7176234727385674
top10HardTrailByHRR,E6bis cumulative acute TRIMP,terrain_descent,0.9628339838362022,0.7924398921411733,0.7924398921411733
top10HardTrailByHRR,E6bis cumulative acute TRIMP,terrain_flat,0.8125815529105632,0.7089005961788941,0.7089005961788941
top10HardTrailByHRR,E6bis cumulative acute TRIMP,terrain_mixed_climb_descent,0.8699875855313395,0.5805921891211305,0.5805921891211305
top10HardTrailByHRR,E6bis cumulative acute TRIMP,terrain_steep_climb,0.8174202068716276,0.3311126113317643,0.3311126113317643
top10HardTrailByHRR,E6bis cumulative acute TRIMP,terrain_steep_descent,1.1528540719773008,0.4338139230194119,0.4338139230194119
selectedDateRaces,E1 distance,intercept,6.107982940514276,,
selectedDateRaces,E1 distance,logDistanceKm,1.2121692898280987,0.6274502098477691,0.6274502098477691
selectedDateRaces,E2 terrain physics + progress,intercept,4.967889877404271,,
selectedDateRaces,E2 terrain physics + progress,logDistanceKm,1.2231699549606245,0.6331444389490914,0.6331444389490914
selectedDateRaces,E2 terrain physics + progress,logGapFactor,0.5908942659386891,0.4484613952422547,0.4484613952422547
selectedDateRaces,E2 terrain physics + progress,altitudePenalty,12.668156905201052,0.3909430397085854,0.3909430397085854
selectedDateRaces,E2 terrain physics + progress,progress,0.23702341496549179,0.14112107167745125,0.14112107167745125
selectedDateRaces,E2 terrain physics + progress,terrain_climb,0.8409589920168596,0.6726006258603707,0.6726006258603707
selectedDateRaces,E2 terrain physics + progress,terrain_descent,0.8127832626968944,0.6531063194378368,0.6531063194378368
selectedDateRaces,E2 terrain physics + progress,terrain_flat,0.773754487739063,0.7450228183979756,0.7450228183979756
selectedDateRaces,E2 terrain physics + progress,terrain_mixed_climb_descent,0.8043610623375247,0.6005786313433283,0.6005786313433283
selectedDateRaces,E2 terrain physics + progress,terrain_steep_climb,0.8025795314075905,0.3774835110883787,0.3774835110883787
selectedDateRaces,E2 terrain physics + progress,terrain_steep_descent,0.933452541206441,0.4303337001164654,0.4303337001164654
selectedDateRaces,E3 CTL readiness,intercept,5.1164210091569595,,
selectedDateRaces,E3 CTL readiness,logDistanceKm,1.2162671320497092,0.6295713590828212,0.6295713590828212
selectedDateRaces,E3 CTL readiness,logGapFactor,0.6000807704897065,0.4554335269514767,0.4554335269514767
selectedDateRaces,E3 CTL readiness,altitudePenalty,9.679443300508794,0.29871046079593483,0.29871046079593483
selectedDateRaces,E3 CTL readiness,progress,0.22910111822168755,0.13640422542496092,0.13640422542496092
selectedDateRaces,E3 CTL readiness,ctl,-0.21244062240284625,-0.10374807986445943,0.10374807986445943
selectedDateRaces,E3 CTL readiness,tsb,0.41615635649089655,0.15494047262103566,0.15494047262103566
selectedDateRaces,E3 CTL readiness,terrain_climb,0.850026906897199,0.6798531616934644,0.6798531616934644
selectedDateRaces,E3 CTL readiness,terrain_descent,0.8320864103856375,0.6686172290728712,0.6686172290728712
selectedDateRaces,E3 CTL readiness,terrain_flat,0.8120606071729553,0.7819065244245728,0.7819065244245728
selectedDateRaces,E3 CTL readiness,terrain_mixed_climb_descent,0.8318488632308434,0.6211024814053543,0.6211024814053543
selectedDateRaces,E3 CTL readiness,terrain_steep_climb,0.8276506217167946,0.3892753931715587,0.3892753931715587
selectedDateRaces,E3 CTL readiness,terrain_steep_descent,0.9627475997535617,0.4438391011767243,0.4438391011767243
selectedDateRaces,E4 REDI readiness,intercept,5.1106107068955176,,
selectedDateRaces,E4 REDI readiness,logDistanceKm,1.2149707530206537,0.6289003197315945,0.6289003197315945
selectedDateRaces,E4 REDI readiness,logGapFactor,0.6034980375498358,0.45802707446418855,0.45802707446418855
selectedDateRaces,E4 REDI readiness,altitudePenalty,9.249402724064687,0.2854392824065934,0.2854392824065934
selectedDateRaces,E4 REDI readiness,progress,0.22743607365133406,0.1354128766411574,0.1354128766411574
selectedDateRaces,E4 REDI readiness,trimpRediSlow,-0.21173173550372976,-0.11302719887917434,0.11302719887917434
selectedDateRaces,E4 REDI readiness,trimpRediBalance,0.4955484850705739,0.16507379527980653,0.16507379527980653
