cohort,fitObjective,activityIndex,segmentIndex,startKm,endKm,distanceKm,avgGrade,meanAltitudeM,elevGainM,elevLossM,progress,gapFactor,altitudePenalty,meanHrReserve,segmentTrimp,cumTrimpBefore,decayedTrimpBefore,terrainFamily,technicalityCombined,actualTimeSec,stage3PredictedTimeSec,stage3ResidualSec,stage3FatigueState,stage3AcuteTrimpCol,stage3FatigueModel
hardRunOrTrailRun,activity,A0071,4,3.99990506289309,4.99929462486439,0.9993895619713005,-0.03422420153435429,54.590441055051514,8.900000000000006,44.8,0.7445726920066775,0.8696259577928698,0.00025377502880941094,0.828581560283688,0.2038781914846418,0.7332084262058322,0.5869338737222145,flat,0.7163254413743352,282.0,272.30952360112,-9.69047639887998,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0071,5,4.99929462486439,6.00076318970798,1.0014685648435897,0.021313322840554712,55.991655322016705,24.999999999999986,2.0999999999999943,0.9101190042896136,1.1338588128339793,0.00026120680379004835,0.8520443101711983,0.25741916707571344,0.937086617690474,0.6844190039242075,flat,0.4440477301080725,331.0,354.66028439374304,23.66028439374304,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,0,0.0,1.0001767844698464,1.0001767844698464,-0.00929740069334308,73.50179098678647,5.800000000000011,17.200000000000003,0.0820781696512594,0.9620038557940032,0.0003579515872127459,0.5760082304526749,0.10026583820225865,0.0,0.0,flat,0.3358361396077264,324.0,386.13754960379754,62.13754960379754,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,1,1.0001767844698464,2.001166357677753,1.0009895732079068,0.025878964447506078,68.20194152503159,45.0,16.60000000000001,0.24630120937411293,1.2010453947398234,0.0003279123920003624,0.7121422222222222,0.18633395249284557,0.10026583820225865,0.10026583820225865,flat,0.36696201428490155,375.0,398.22068916945085,23.22068916945085,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,2,2.001166357677753,3.00061917743239,0.9994528197546368,-0.019944281660863986,86.82224401248071,1.4000000000000057,22.60000000000001,0.4104648379012266,0.9020699847128265,0.0004363529925377474,0.7017750257997936,0.15504215106110616,0.2865997906951042,0.2684246777121759,flat,0.5212237805995664,323.0,313.84851140418124,-9.151488595818762,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,3,3.00061917743239,4.000331560305861,0.9997123828734713,0.0015729960553417532,68.3544412428261,13.599999999999994,11.999999999999986,0.5745236555123359,1.0202649398951742,0.0003287675661438616,0.6924040404040405,0.15350019595554815,0.4416419417562104,0.3748096895891105,flat,0.4990615768091759,330.0,368.10634395420476,38.10634395420476,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,4,4.000331560305861,5.001061992733748,1.0007304324278863,-0.0054879919942715846,71.46272825216937,6.799999999999997,11.200000000000003,0.7386873186981193,0.9776166482657498,0.00034631652218330977,0.6912708333333334,0.14828208801340284,0.5951421377117585,0.46036841537376516,flat,1.0,320.0,360.3287755625022,40.32877556250219,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,5,5.001061992733748,6.000145045270771,0.9990830525370233,0.0022530743925155057,70.43713280209151,6.3999999999999915,4.5,0.9027993367318421,1.014385708044187,0.0003405011617616527,0.8232828282828283,0.18772454519855106,0.7434242257251613,0.5251998674256827,flat,0.1749191410916938,264.0,317.95201394983803,53.95201394983803,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0072,6,6.000145045270771,6.092830704677512,0.09268565940674112,-0.03312144605836392,69.83238325246641,0.0,3.499999999999986,0.9923938753676854,0.8454094349573404,0.00033708362932571845,0.8844444444444444,0.023195392823722728,0.9311487709237124,0.6177218281724365,flat,0.06579549876433229,27.0,24.31301668993573,-2.686983310064271,decayed,decayedTrimpBefore,linear
hardRunOrTrailRun,activity,A0082,0,0.0,1.0010962681412718,1.0010962681412718,0.0037576545681923747,216.75798030687164,8.799999999999983,0.0,0.06940465670663565,1.0215473745988932,0.0014189125587431572,0.6127825261158595,0.124010042438319,0.0,0.0,flat,1.0,351.0,387.3815618317986,36.38156183179859,decayed,decayedTrimpBefore,linear
