activityId,athleteId,startDate,sportType,category,source,distanceKm,timeSec,ascentM,distanceEqKm,trimp,avgHr,hrSpeedShift,hrZone_z1_upper,hrZone_z2_upper,hrZone_z3_upper,hrZone_z4_upper,hrZone_gmm_sample_count,hrZone_gmm_fit_date,hrZone_zone_count
11612618245,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-09,Ride,RIDE,strava,17.1128,2799.0,48.0,6.09384,0.5401346500848089,123.1,41.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11613695924,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-09,Ride,RIDE,strava,5.5315,1222.0,17.0,1.99945,0.3081595120248061,133.2,-5.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11626182984,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-11,Soccer,OTHER,strava,6.8413,4554.0,0.0,6.8413,2.212095474676636,160.8,-17.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11637384443,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-12,Run,RUN,strava,11.4913,3410.0,28.0,11.7713,1.9441180553027333,168.1,-38.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11642838374,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-13,Soccer,OTHER,strava,5.3845,3622.0,0.0,5.3845,1.3159045522106814,148.1,-23.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11660716565,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-15,Ride,RIDE,strava,5.4853000000000005,1051.0,1.0,1.66559,0.290312628692876,136.8,48.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11661845135,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-16,Ride,RIDE,strava,5.5547,1239.0,4.0,1.7464100000000002,0.2685749286346546,127.4,22.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11672310227,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-17,Run,RUN,strava,1.1741,411.0,3.0,1.2041,0.0773677649118043,122.2,-35.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11672312918,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-17,WeightTraining,OTHER,strava,0.0,2215.0,0.0,0.0,0.3715012429228864,118.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11672313164,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-17,Run,RUN,strava,0.8881,339.0,3.0,0.9181,0.1339567876411396,151.7,-20.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11679863383,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-18,Run,RUN,strava,1.5169,493.0,1.0,1.5269,0.149242023625397,140.5,-35.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11680459307,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-18,Run,RUN,strava,5.4707,4437.0,13.0,5.6007,1.5302057927021926,145.9,-45.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11688912715,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-19,Run,RUN,strava,1.4369,482.0,5.0,1.4869,0.1237408055021153,133.9,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11688912722,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-19,Run,RUN,strava,2.182,798.0,2.0,2.202,0.2439482674711622,140.9,-49.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11696413113,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-20,Run,RUN,strava,1.228,389.0,5.0,1.278,0.0756877198533503,123.4,-29.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11696587435,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-20,WeightTraining,OTHER,strava,0.0,1280.0,0.0,0.0,0.2538627700187879,124.1,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11696652992,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-20,Run,RUN,strava,1.1884,397.0,0.0,1.1884,0.111317388325198,137.4,-55.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11704501213,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-21,Run,RUN,strava,12.5421,3874.0,32.0,12.8621,2.0420534037197147,164.5,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11723246393,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-23,Run,RUN,strava,1.1825,383.0,11.0,1.2925000000000002,0.1150929635882515,140.2,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11723330241,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-23,WeightTraining,OTHER,strava,0.0,1028.0,0.0,0.0,0.2187140024426322,126.7,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11723360414,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-23,Run,RUN,strava,1.2222,332.0,7.0,1.2922,0.0715845144990218,127.2,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11730667820,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-24,Run,RUN,strava,10.2281,3369.0,100.0,11.2281,1.6255897534719734,160.5,6.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11742827387,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-26,Run,RUN,strava,0.9358,284.0,2.0,0.9558,0.1640286974112124,168.7,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11742983267,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-26,Run,RUN,strava,0.7793,271.0,0.0,0.7793,0.1376040333447132,162.8,,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11759480552,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-06-28,Run,RUN,strava,17.893,5536.0,42.0,18.313,2.8736049179543057,163.8,-57.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11781458952,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-01,Run,RUN,strava,5.9995,1960.0,17.0,6.1695,0.8782534222496218,157.2,55.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11797598418,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-03,Run,RUN,strava,5.477600000000001,2261.0,15.0,5.627600000000001,0.7030908010193395,141.6,-33.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11815743705,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-05,Run,RUN,strava,10.9599,3211.0,29.0,11.249899999999998,1.7224885889479815,165.3,-60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11839815612,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-08,Run,RUN,strava,6.0935,1711.0,82.6,6.919499999999999,0.9178380491093108,165.3,60.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11903275439,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-16,Run,RUN,strava,2.7093000000000003,1051.0,98.0,3.6893,0.3096766009780131,139.4,-5.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11911590069,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-17,Hike,HIKE,strava,9.9482,11963.0,1256.0,22.5082,3.118397763768578,134.5,-13.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11919983420,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-18,Hike,HIKE,strava,12.3152,13768.0,685.0,19.1652,3.064654235260889,128.4,-16.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11926344565,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-19,TrailRun,TRAIL_RUN,strava,8.6405,3910.0,386.0,12.5005,1.824438066679184,159.0,-43.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
11958807397,8c83ae21-a810-466d-a5c5-95ef9a470c8a,2024-07-23,Run,RUN,strava,7.6709,2686.0,123.9,8.9099,1.056477080733344,151.5,-31.0,143.24948926026184,158.6833818085684,171.814333017708,,,,4
