cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted
2.3183556147666886,382.0,216.56,0.005503758364323858,28.63585451978619,21.86385201745764,116,,,
2.325226744426711,386.0,216.64000000000001,0.005633221339844117,6.184016694020161,21.29422373256184,116,,,
2.3320866168650305,387.0,216.8,0.005906642979365431,24.695540777950033,21.208533353473676,118,,,
2.3421910055238655,388.0,217.11999999999998,0.006637660993062904,36.37579917180678,20.21876075302638,124,,,
2.3695102718790357,393.0,217.36000000000004,0.0062844417950161865,12.453720881724973,20.464351651267446,128,,,
2.3934998490051402,399.0,217.56000000000003,0.004754467287728633,14.393746275662702,19.486703424939417,127,,,
2.4480673337377237,409.0,217.92000000000002,0.0025984914975936465,10.590914018497005,20.34317721102867,129,,,
2.471307811265897,413.0,218.11999999999998,3.7468060792501466e-05,20.916429775355876,20.584051208797707,128,,,
2.508872577980926,418.0,217.95999999999998,-0.0017629733817718708,16.419603088238013,18.93758966658161,128,,,
2.5203246385070197,420.0,217.56,-0.0036220375102619107,20.613708946968305,16.181408963571425,129,,,
2.531053922121954,421.0,217.16,-0.002694050642374482,38.6254210137636,16.406409647609717,129,,,
2.5409292072275127,425.0,216.92,-0.00216718655154873,8.887756595002855,17.42036775961763,127,,,
2.5510938198006423,429.0,216.88000000000002,-0.002355966181021856,9.148151315816577,18.52914132399898,125,,,
2.5625736990617938,433.0,216.95999999999998,-0.0034149353190743663,10.331891335036264,18.122371493069615,124,,,
2.5754088210389137,436.0,217.16,-0.003239691011416418,15.402146372543996,17.63927933221622,124,,,
2.589421305987706,438.0,217.35999999999999,-0.002313187442634842,25.22247290782659,19.615448068712972,123,,,
2.6015809186992365,440.0,217.44,-0.0004954276454612406,21.88730288075515,17.98825901053837,122,,,
2.6155167912870554,443.0,217.44,0.0014295242347410776,16.723047105382882,19.049727949536273,122,,,
2.64096146381378,448.0,217.28000000000003,0.0015375804047221835,11.337769371296707,21.12977113758748,124,,,
2.652044583818253,449.0,217.07999999999998,0.00034778740636910754,39.899232016101536,22.724816692689572,125,,,
2.6642086776018026,451.0,216.95999999999998,-0.0008607483717759537,21.89536881038914,22.894507369525826,125,,,
2.6751756724464424,453.0,217.0,-0.003222574057871025,19.740590720351474,22.4982627574394,125,,,
2.6921385576246366,455.0,216.95999999999998,-0.004280373983954853,30.53319332074986,22.32576753870628,124,,,
2.714362698849168,458.0,216.84,-0.004027268034672173,26.668969469437478,22.477169208226645,125,,,
2.7427361585087815,464.0,216.95999999999998,-0.002105891057821584,17.024075795768226,23.88691690133632,126,,,
2.77772516445933,470.0,216.76,-0.00041961759241130594,20.99340357032894,21.849500543071343,126,,,
2.8165308219130614,477.0,216.64000000000001,0.001350775247449239,19.95719526191909,21.286797751982768,125,,,
2.856961821068805,485.0,216.72000000000003,0.0017486417609731994,18.193949620084606,22.382044049565717,124,,,
2.898900979739129,491.0,217.04000000000002,0.002672131700395715,25.163495202194497,21.169762746004718,125,,,
2.9361527957097033,498.0,217.11999999999998,0.004219296860082591,19.15807678486669,19.840309646776312,123,,,
2.9667867396244896,505.0,217.44,0.00477247796328468,15.75459972760436,20.143591352493875,123,,,
2.991248843490971,508.0,217.64000000000001,0.006177626755823786,29.354524639777935,20.493008778443524,122,,,
