cumulated_distance,cumulated_duration_seconds,elevationM_ma_5,grade_ma_10,speed_km_h,speedeq_smooth,hr,hr_smooth,speed_smooth,hr_shifted,cluster
2.0278098960776054,338.0,219.32,6.782116772848669e-05,11.787665305360525,20.292717426244387,119,122.4,18.11511864766377,122.4,0.0
2.040115923702393,340.0,219.35999999999999,-0.0005757129287932994,22.15084972461726,20.126279300946944,119,122.6,16.70494264390264,122.6,0.0
2.0811686235352034,344.0,219.23999999999995,-0.0007274325886161379,24.229281305238736,19.966573910463858,122,122.8,18.05727282441091,122.8,0.0
2.094045937528424,349.0,219.2,-0.0009855127137428535,9.271666075118995,19.945802523311293,123,123.1,17.565171634298494,123.1,0.0
2.1279364285331406,353.0,218.95999999999998,-0.0008851928286257629,16.17420530637437,19.380108850792315,124,123.6,15.17037422088542,123.6,0.0
2.139975736313825,355.0,218.88000000000002,-0.0005623795711694084,21.670754005232492,17.904694560751615,124,124.1,15.05814752743728,124.1,0.0
2.1530277250432572,357.0,218.8,-0.00030942380479260926,23.493579712977557,19.275653112299402,123,124.9,14.815468095182473,124.9,0.0
2.1649224511585325,361.0,218.8,-0.00010503724223497168,10.705253503747775,18.901472334931057,123,125.9,14.9201128688894,125.9,0.0
2.178320916475864,363.0,218.88000000000002,0.0006530593659665034,24.117237571196565,18.273150560117614,123,127.3,14.516164052757176,127.3,3.0
2.2050996064184476,367.0,219.16,0.0007668183171282433,15.693788738969156,20.80597386816413,122,128.6,14.870453324377584,128.6,3.0
2.219164952062189,369.0,219.28000000000003,0.001337188938953179,25.31762215873426,21.941064947328115,122,130.0,14.895212615818757,130.0,3.0
2.2343147767498444,372.0,219.35999999999999,0.0016213126346191775,18.17978962518683,21.348548072148567,121,131.2,15.29491251649107,131.2,3.0
2.2490364795908238,375.0,219.44,0.0019215800871908817,17.66604340917544,20.51393966614632,121,132.3,13.584063271204062,132.3,3.0
2.26806689850587,377.0,219.4,0.0015880523629358257,34.25475404708291,21.615372107545333,120,133.1,13.622659176419882,133.1,3.0
2.2908620681666565,380.0,219.32,0.0006302548692693604,27.35420359294391,20.892008822965796,118,133.7,13.507807269331089,133.7,3.0
2.3170796915176566,386.0,219.24,-0.000598387719031329,15.730574010599932,20.72613301721758,116,134.0,14.841536179668491,134.0,3.0
2.3424839781390716,392.0,219.16,-0.001634469190976055,15.242571972848976,19.399606553047203,118,133.8,16.850229724841245,133.8,2.0
2.372903205587273,397.0,219.08,-0.0015937256767300102,21.901843762705074,19.672968020304772,121,133.2,18.665065937609437,133.2,2.0
2.427686375775976,404.0,218.95999999999998,-0.0001842351591156602,16.985992957182336,19.89813399630262,121,132.3,19.958864934925607,132.3,2.0
2.4741748968602986,412.0,218.8,0.0016157170045374685,13.977537788890908,20.482272425460142,123,131.4,20.507146817944392,131.4,2.0
2.520497938293541,417.0,218.35999999999999,0.003244063260613636,12.023419196529662,20.246469311641185,124,130.5,20.96667878924172,130.5,2.0
2.5319614437434805,419.0,218.44,0.003895111995673429,20.634309809891064,20.83378106816268,123,129.7,23.46319731230619,129.7,2.0
2.554559259220068,422.0,218.76,0.004504366497371218,19.618652270587102,20.85681693886903,123,128.9,23.45698750289989,128.9,2.0
2.565502585193095,423.0,218.95999999999998,0.004616697261888013,39.39597350289728,22.55085961410266,123,128.3,24.77795706659873,128.3,2.0
2.579088586077584,425.0,219.11999999999998,0.0047398706718534645,24.454801592080443,22.535941225715227,122,127.8,26.02806976203496,127.8,0.0
2.5907483447252786,427.0,219.16,0.004914748687629191,20.987565565850264,22.705766901621917,122,127.6,25.07294544843712,127.6,0.0
2.6032044793576405,430.0,219.2,0.004777109000821275,14.947361558834395,23.148327867112673,122,127.4,24.15476423886508,127.4,0.0
